P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,median_burst,average_burst,average_max_burst,sqrt_median_HB_burst,average_median_burst,sqrt_average_median_burst,average_median_max,sqrt_median_max
"(6, 2)","(8, 6)","(2, 5)","(5, 6)","(9, 4)","(8, 0)","(4, 5)","(10, 7)","(9, 0)","(6, 0)","(42.9, 39.7, 23.2, 14, 178.36)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)","(40.8, 37.1, 21.1, 14, 146.29)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)"
"(6, 2)","(8, 6)","(2, 5)","(5, 6)","(9, 4)","(8, 0)","(4, 5)","(10, 7)","(9, 0)","(6, 0)","(42.9, 39.7, 23.2, 14, 178.36)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)","(40.8, 37.1, 21.1, 14, 146.29)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)"
"(6, 2)","(8, 6)","(2, 5)","(5, 6)","(9, 4)","(8, 0)","(4, 5)","(10, 7)","(9, 0)","(6, 0)","(42.9, 39.7, 23.2, 14, 178.36)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)","(40.8, 37.1, 21.1, 14, 146.29)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)"
"(6, 2)","(8, 6)","(2, 5)","(5, 6)","(9, 4)","(8, 0)","(4, 5)","(10, 7)","(9, 0)","(6, 0)","(42.9, 39.7, 23.2, 14, 178.36)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)","(40.8, 37.1, 21.1, 14, 146.29)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)"
"(6, 2)","(8, 6)","(2, 5)","(5, 6)","(9, 4)","(8, 0)","(4, 5)","(10, 7)","(9, 0)","(6, 0)","(42.9, 39.7, 23.2, 14, 178.36)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)","(40.8, 37.1, 21.1, 14, 146.29)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)"
"(6, 2)","(8, 6)","(2, 5)","(5, 6)","(9, 4)","(8, 0)","(4, 5)","(10, 7)","(9, 0)","(6, 0)","(42.9, 39.7, 23.2, 14, 178.36)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)","(40.8, 37.1, 21.1, 14, 146.29)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)"
"(6, 2)","(8, 6)","(2, 5)","(5, 6)","(9, 4)","(8, 0)","(4, 5)","(10, 7)","(9, 0)","(6, 0)","(42.9, 39.7, 23.2, 14, 178.36)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)","(40.8, 37.1, 21.1, 14, 146.29)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)"
"(0, 3)","(3, 4)","(3, 4)","(3, 4)","(4, 4)","(1, 8)","(4, 0)","(1, 18)","(12, 14)","(0, 0)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)"
"(0, 3)","(3, 4)","(3, 4)","(3, 4)","(4, 4)","(1, 8)","(4, 0)","(1, 18)","(12, 14)","(0, 0)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)"
"(0, 3)","(3, 4)","(3, 4)","(3, 4)","(4, 4)","(1, 8)","(4, 0)","(1, 18)","(12, 14)","(0, 0)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)"
"(0, 3)","(3, 4)","(3, 4)","(3, 4)","(4, 4)","(1, 8)","(4, 0)","(1, 18)","(12, 14)","(0, 0)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)"
"(0, 3)","(3, 4)","(3, 4)","(3, 4)","(4, 4)","(1, 8)","(4, 0)","(1, 18)","(12, 14)","(0, 0)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)"
"(0, 3)","(3, 4)","(3, 4)","(3, 4)","(4, 4)","(1, 8)","(4, 0)","(1, 18)","(12, 14)","(0, 0)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)"
"(0, 3)","(3, 4)","(3, 4)","(3, 4)","(4, 4)","(1, 8)","(4, 0)","(1, 18)","(12, 14)","(0, 0)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)"
"(0, 3)","(3, 4)","(3, 4)","(3, 4)","(4, 4)","(1, 8)","(4, 0)","(1, 18)","(12, 14)","(0, 0)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)","(8.1, 6.5, 4.4, 14, 35.44)","(8.1, 6.5, 4.4, 14, 35.44)","(7.1, 4.7, 3.9, 10, 12.09)","(7.0, 4.5, 3.8, 10, 11.56)"
"(12, 0)","(7, 2)","(7, 2)","(8, 1)","(90, 1)","(16, 0)","(2, 0)","(10, 0)","(9, 4)","(21, 1)","(77.9, 72.3, 32.0, 23, 502.4)","(70.3, 61.1, 45.4, 14, 1154.84)","(77.9, 65.1, 57.4, 10, 2484.44)","(70.4, 60.9, 49.9, 12, 1566.69)","(71.3, 63.5, 40.1, 17, 822.29)","(71.3, 63.5, 40.1, 17, 822.29)","(76.4, 63.1, 55.9, 10, 2279.89)","(70.4, 60.9, 49.9, 12, 1566.69)"
"(12, 0)","(7, 2)","(7, 2)","(8, 1)","(90, 1)","(16, 0)","(2, 0)","(10, 0)","(9, 4)","(21, 1)","(77.9, 72.3, 32.0, 23, 502.4)","(70.3, 61.1, 45.4, 14, 1154.84)","(77.9, 65.1, 57.4, 10, 2484.44)","(70.4, 60.9, 49.9, 12, 1566.69)","(71.3, 63.5, 40.1, 17, 822.29)","(71.3, 63.5, 40.1, 17, 822.29)","(76.4, 63.1, 55.9, 10, 2279.89)","(70.4, 60.9, 49.9, 12, 1566.69)"
"(12, 0)","(7, 2)","(7, 2)","(8, 1)","(90, 1)","(16, 0)","(2, 0)","(10, 0)","(9, 4)","(21, 1)","(77.9, 72.3, 32.0, 23, 502.4)","(70.3, 61.1, 45.4, 14, 1154.84)","(77.9, 65.1, 57.4, 10, 2484.44)","(70.4, 60.9, 49.9, 12, 1566.69)","(71.3, 63.5, 40.1, 17, 822.29)","(71.3, 63.5, 40.1, 17, 822.29)","(76.4, 63.1, 55.9, 10, 2279.89)","(70.4, 60.9, 49.9, 12, 1566.69)"
"(12, 0)","(7, 2)","(7, 2)","(8, 1)","(90, 1)","(16, 0)","(2, 0)","(10, 0)","(9, 4)","(21, 1)","(77.9, 72.3, 32.0, 23, 502.4)","(70.3, 61.1, 45.4, 14, 1154.84)","(77.9, 65.1, 57.4, 10, 2484.44)","(70.4, 60.9, 49.9, 12, 1566.69)","(71.3, 63.5, 40.1, 17, 822.29)","(71.3, 63.5, 40.1, 17, 822.29)","(76.4, 63.1, 55.9, 10, 2279.89)","(70.4, 60.9, 49.9, 12, 1566.69)"
"(12, 0)","(7, 2)","(7, 2)","(8, 1)","(90, 1)","(16, 0)","(2, 0)","(10, 0)","(9, 4)","(21, 1)","(77.9, 72.3, 32.0, 23, 502.4)","(70.3, 61.1, 45.4, 14, 1154.84)","(77.9, 65.1, 57.4, 10, 2484.44)","(70.4, 60.9, 49.9, 12, 1566.69)","(71.3, 63.5, 40.1, 17, 822.29)","(71.3, 63.5, 40.1, 17, 822.29)","(76.4, 63.1, 55.9, 10, 2279.89)","(70.4, 60.9, 49.9, 12, 1566.69)"
"(12, 0)","(7, 2)","(7, 2)","(8, 1)","(90, 1)","(16, 0)","(2, 0)","(10, 0)","(9, 4)","(21, 1)","(77.9, 72.3, 32.0, 23, 502.4)","(70.3, 61.1, 45.4, 14, 1154.84)","(77.9, 65.1, 57.4, 10, 2484.44)","(70.4, 60.9, 49.9, 12, 1566.69)","(71.3, 63.5, 40.1, 17, 822.29)","(71.3, 63.5, 40.1, 17, 822.29)","(76.4, 63.1, 55.9, 10, 2279.89)","(70.4, 60.9, 49.9, 12, 1566.69)"
"(12, 0)","(7, 2)","(7, 2)","(8, 1)","(90, 1)","(16, 0)","(2, 0)","(10, 0)","(9, 4)","(21, 1)","(77.9, 72.3, 32.0, 23, 502.4)","(70.3, 61.1, 45.4, 14, 1154.84)","(77.9, 65.1, 57.4, 10, 2484.44)","(70.4, 60.9, 49.9, 12, 1566.69)","(71.3, 63.5, 40.1, 17, 822.29)","(71.3, 63.5, 40.1, 17, 822.29)","(76.4, 63.1, 55.9, 10, 2279.89)","(70.4, 60.9, 49.9, 12, 1566.69)"
"(12, 0)","(7, 2)","(7, 2)","(8, 1)","(90, 1)","(16, 0)","(2, 0)","(10, 0)","(9, 4)","(21, 1)","(77.9, 72.3, 32.0, 23, 502.4)","(70.3, 61.1, 45.4, 14, 1154.84)","(77.9, 65.1, 57.4, 10, 2484.44)","(70.4, 60.9, 49.9, 12, 1566.69)","(71.3, 63.5, 40.1, 17, 822.29)","(71.3, 63.5, 40.1, 17, 822.29)","(76.4, 63.1, 55.9, 10, 2279.89)","(70.4, 60.9, 49.9, 12, 1566.69)"
"(3, 2)","(2, 2)","(13, 2)","(10, 2)","(1, 2)","(0, 2)","(7, 2)","(6, 2)","(6, 2)","(4, 2)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)"
"(3, 2)","(2, 2)","(13, 2)","(10, 2)","(1, 2)","(0, 2)","(7, 2)","(6, 2)","(6, 2)","(4, 2)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)"
"(3, 2)","(2, 2)","(13, 2)","(10, 2)","(1, 2)","(0, 2)","(7, 2)","(6, 2)","(6, 2)","(4, 2)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)"
"(3, 2)","(2, 2)","(13, 2)","(10, 2)","(1, 2)","(0, 2)","(7, 2)","(6, 2)","(6, 2)","(4, 2)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)"
"(3, 2)","(2, 2)","(13, 2)","(10, 2)","(1, 2)","(0, 2)","(7, 2)","(6, 2)","(6, 2)","(4, 2)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)"
"(3, 2)","(2, 2)","(13, 2)","(10, 2)","(1, 2)","(0, 2)","(7, 2)","(6, 2)","(6, 2)","(4, 2)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)"
"(3, 2)","(2, 2)","(13, 2)","(10, 2)","(1, 2)","(0, 2)","(7, 2)","(6, 2)","(6, 2)","(4, 2)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)"
"(3, 2)","(2, 2)","(13, 2)","(10, 2)","(1, 2)","(0, 2)","(7, 2)","(6, 2)","(6, 2)","(4, 2)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)","(20.8, 18.6, 9.0, 15, 108.6)","(20.8, 18.6, 9.0, 15, 108.6)","(16.7, 13.3, 10.5, 11, 160.85)","(16.6, 13.0, 10.4, 11, 155.84)"
"(2, 3)","(3, 4)","(23, 8)","(10, 4)","(5, 4)","(30, 4)","(13, 4)","(3, 8)","(23, 4)","(3, 0)","(47.6, 44.5, 15.2, 21, 185.76)","(47.5, 43.7, 20.3, 16, 382.41)","(45.3, 39.8, 25.6, 12, 729.84)","(42.8, 35.8, 23.1, 12, 544.09)","(49.1, 45.7, 18.0, 18, 282.4)","(49.1, 45.7, 18.0, 18, 282.4)","(44.3, 38.2, 24.6, 12, 651.64)","(42.8, 35.8, 23.1, 12, 544.09)"
"(2, 3)","(3, 4)","(23, 8)","(10, 4)","(5, 4)","(30, 4)","(13, 4)","(3, 8)","(23, 4)","(3, 0)","(47.6, 44.5, 15.2, 21, 185.76)","(47.5, 43.7, 20.3, 16, 382.41)","(45.3, 39.8, 25.6, 12, 729.84)","(42.8, 35.8, 23.1, 12, 544.09)","(49.1, 45.7, 18.0, 18, 282.4)","(49.1, 45.7, 18.0, 18, 282.4)","(44.3, 38.2, 24.6, 12, 651.64)","(42.8, 35.8, 23.1, 12, 544.09)"
"(2, 3)","(3, 4)","(23, 8)","(10, 4)","(5, 4)","(30, 4)","(13, 4)","(3, 8)","(23, 4)","(3, 0)","(47.6, 44.5, 15.2, 21, 185.76)","(47.5, 43.7, 20.3, 16, 382.41)","(45.3, 39.8, 25.6, 12, 729.84)","(42.8, 35.8, 23.1, 12, 544.09)","(49.1, 45.7, 18.0, 18, 282.4)","(49.1, 45.7, 18.0, 18, 282.4)","(44.3, 38.2, 24.6, 12, 651.64)","(42.8, 35.8, 23.1, 12, 544.09)"
"(2, 3)","(3, 4)","(23, 8)","(10, 4)","(5, 4)","(30, 4)","(13, 4)","(3, 8)","(23, 4)","(3, 0)","(47.6, 44.5, 15.2, 21, 185.76)","(47.5, 43.7, 20.3, 16, 382.41)","(45.3, 39.8, 25.6, 12, 729.84)","(42.8, 35.8, 23.1, 12, 544.09)","(49.1, 45.7, 18.0, 18, 282.4)","(49.1, 45.7, 18.0, 18, 282.4)","(44.3, 38.2, 24.6, 12, 651.64)","(42.8, 35.8, 23.1, 12, 544.09)"
